id Declarator,"ФИО депутата, автора законопроекта","Количество законопроектов, внесенных депутатом в указанный период","Количество внесенных законопроектов, подписанных президентом","Процент успешных законопроектов, %",Сумма дней прохождения всех законопроектов,Среднее количество дней прохождения законопроекта депутата-автора,Примечания,Служебное
22993,Боташев Расул Борисович,2,0,"0,00%",0,0,,
610,Брыксин Александр Юрьевич,2,0,"0,00%",0,0,,
22053,Будуев Николай Робертович,4,0,"0,00%",0,0,,
31893,Букачаков Родион Борисович,0,0,"0,00%",0,0,,
13974,Бурнашов Алексей Леонидович,0,0,"0,00%",0,0,,
201,Валенчук Олег Дорианович,0,0,"0,00%",0,0,,
564,Валуев Николай Сергеевич,1,0,"0,00%",0,0,,
612,Василенко Александр Борисович,1,0,"0,00%",0,0,,
615,Васильев Александр Николаевич,0,0,"0,00%",0,0,,
24182,Веллер Алексей Борисович,6,0,"0,00%",0,0,,
31756,Ветлужских Андрей Леонидович,2,0,"0,00%",0,0,,
31757,Власов Василий Максимович,8,0,"0,00%",0,0,,
271,Водолацкий Виктор Петрович,9,0,"0,00%",0,0,,
31758,Воевода Алексей Иванович,2,0,"0,00%",0,0,,
22871,Волков Юрий Геннадьевич,4,0,"0,00%",0,0,,
13566,Воробьев Александр Васильевич,1,0,"0,00%",0,0,,
13341,Воронина Татьяна Евгеньевна,0,0,"0,00%",0,0,,
171,Гаджиев Магомед Тажудинович,2,0,"0,00%",0,0,,
617,Гаджиев Мурад Станиславович,0,0,"0,00%",0,0,,
31771,Гадыльшин Мурад Асфандиарович,0,0,"0,00%",0,0,,
31772,Газгиреев Юшаа Орснакиевич,0,0,"0,00%",0,0,,
9125,Ганзя Вера Анатольевна,25,0,"0,00%",0,0,,
31777,Ганиев Фарит Глюсович,1,0,"0,00%",0,0,,
560,Геккиев Заур Далхатович,5,0,"0,00%",0,0,,
19861,Говорин Николай Васильевич,1,0,"0,00%",0,0,,
228,Гутенев Владимир Владимирович,2,0,"0,00%",0,0,,
31956,Дамдинов Алдар Валерьевич,2,0,"0,00%",0,0,,
229,Делимханов Адам Султанович,0,0,"0,00%",0,0,,
230,Демченко Иван Иванович,3,0,"0,00%",0,0,,
364,Деньгин Вадим Евгеньевич,25,0,"0,00%",0,0,,
14126,Дерябкин Виктор Ефимович,2,0,"0,00%",0,0,,
31958,Дзюба Виктор Викторович,1,0,"0,00%",0,0,,
31963,Духанина Любовь Николаевна,1,0,"0,00%",0,0,,
15610,Евланов Владимир Лазаревич,3,0,"0,00%",0,0,,
18,Езерский Николай Николаевич,18,0,"0,00%",0,0,,
241,Езубов Алексей Петрович,1,0,"0,00%",0,0,,
12122,Елыкомов Валерий Анатольевич,0,0,"0,00%",0,0,,
585,Есяков Сергей Яковлевич,0,0,"0,00%",0,0,,
242,Железняк Сергей Владимирович,0,0,"0,00%",0,0,,
362,Жигарев Сергей Александрович,7,0,"0,00%",0,0,,
14623,Жупиков Александр Владимирович,0,0,"0,00%",0,0,,
573,Журавлев Алексей Александрович,7,0,"0,00%",0,0,,
